original,phonetic,syllables,syl_number,word_len
үләм,үләм,V-SVS,2,4
бит,бит,CVC,1,3
бу,бу,CV,1,2
бәладән,бәладән,CV-SV-CVS,3,7
кем,кем,CVS,1,3
килеп,килеп,CV-SVC,2,5
йолкыр,jолкыр,SVS-CVS,2,6
мине,мине,SV-SV,2,4
иртәгесен,иртәгесен,VS-CV-CV-CVS,4,9
шүрәлеләр,шүрәлеләр,CV-SV-SV-SVS,4,9
бу,бу,CV,1,2
фәкыйрьне,фәкыjрне,CV-CVSS-SV,3,8
тиргиләр,тиргиләр,CVS-CV-SVS,3,8
син,син,CVS,1,3
җүләрсең,җүләрсең,CV-SVS-CVS,3,8
син,син,CVS,1,3
котырган,котырган,CV-CVS-CVS,3,8
син,син,CVS,1,3
тилергәнсең,тилергәнсең,CV-SVS-CVS-CVS,4,11
диләр,диләр,CV-SVS,2,5
әйтәләр,әjтәләр,VS-CV-SVS,3,7
кычкырма,кычкырма,CVC-CVS-SV,3,8
син,син,CVS,1,3
тиз,тиз,CVC,1,3
яхшылык,jахшылык,SVC-CV-SVC,3,8
берлән,берлән,CVS-SVS,2,6
тыел,тыjыл,CV-SVS,2,5
и,и,V,1,1
җүләр,җүләр,CV-SVS,2,5
кысканга,кысканга,CVC-CVS-CV,3,8
былтыр,былтыр,CVS-CVS,2,6
кычкыралармы,кычкыралармы,CVC-CV-SV-SVS-SV,5,12
быел,быjыл,CV-SVS,2,5
бик,бик,CVC,1,3
озак,озак,V-CVC,2,4
торгач,торгач,CVS-CVC,2,6
карашып,карашып,CV-SV-CVC,3,7
күзне,күзне,CVC-SV,2,5
күзгә,күзгә,CVC-CV,2,5
нык,нык,SVC,1,3
терәп,терәп,CV-SVC,2,5
эндәшә,эндәшә,VS-CV-CV,3,6
батыр,батыр,CV-CVS,2,5
утынчы,утынчы,V-CVS-CV,3,6
сиңа,сиңа,CV-SV,2,4
миннән,миннән,SVS-SVS,2,6
ни,ни,SV,1,2
кирәк,кирәк,CV-SVC,2,5
бер,бер,CVS,1,3
дә,дә,CV,1,2
шикләнмә,шикләнмә,CVC-SVS-SV,3,8
җегет,җегет,CV-CVC,2,5
син,син,CVS,1,3
мин,мин,SVS,1,3
карак,карак,CV-SVC,2,5
угъры,угры,VC-SV,2,4
түгел,түгел,CV-CVS,2,5
юл,jул,SVS,1,3
да,да,CV,1,2
кисмимен,кисмимен,CVC-SV-SVS,3,8
шулай,шулаj,CV-SVS,2,5
да,да,CV,1,2
мин,мин,SVS,1,3
бигүк,бигүк,CV-CVC,2,5
тугьры,тугры,CVC-SV,2,5
түгел,түгел,CV-CVS,2,5
гадәтем,гадәтем,CV-CV-CVS,3,7
ялгыз,jалгыз,SVS-CVC,2,6
кешеләрне,кешеләрне,CV-CV-SVS-SV,4,9
кытыклап,кытыклап,CV-CVC-SVC,3,8
үтерәм,үтерәм,V-CV-SVS,3,6
мин,мин,SVS,1,3
әле,әле,V-SV,2,3
күргәч,күргәч,CVS-CVC,2,6
сине,сине,CV-SV,2,4
шатланганымнан,шатланганымнан,CVC-SVS-CV-SVS-SVS,5,14
үкерәм,үкерәм,V-CV-SVS,3,6
тик,тик,CVC,1,3
кытыкларга,кытыкларга,CV-CVC-SVS-CV,4,10
яралгандыр,jаралгандыр,SV-SVS-CVS-CVS,4,11
минем,минем,SV-SVS,2,5
бармакларым,бармакларым,CVS-SVC-SV-SVS,4,11
булгалыйдыр,булгалыjдыр,CVS-CV-SVS-CVS,4,11
көлдереп,көлдереп,CVS-CV-SVC,3,8
адәм,адәм,V-CVS,2,4
үтергән,үтергән,V-CVS-CVS,3,7
чакларым,чакларым,CVC-SV-SVS,3,8
кил,кил,CVS,1,3
әле,әле,V-SV,2,3
син,син,CVS,1,3
дә,дә,CV,1,2
бераз,бераз,CV-SVC,2,5
бармакларыңны,бармакларыңны,CVS-SVC-SV-SVS-SV,5,13
селкет,селкет,CVS-CVC,2,6
и,и,V,1,1
яшь,jәш,SVC,1,3
җегет,җегет,CV-CVC,2,5
килче,килче,CVS-CV,2,5
икәү,икәw,V-CVS,2,4
уйныйк,уjныjк,VS-SVSC,2,6
бераз,бераз,CV-SVC,2,5
кети,кети,CV-CV,2,4
кети,кети,CV-CV,2,4
яхшы,jахшы,SVC-CV,2,5
яхшы,jахшы,SVC-CV,2,5
сүз,сүз,CVC,1,3
дә,дә,CV,1,2
юктыр,jуктыр,SVC-CVS,2,6
мин,мин,SVS,1,3
карышмый,карышмыj,CV-SVC-SVS,3,8
уйныймын,уjныjмын,VS-SVS-SVS,3,8
тик,тик,CVC,1,3
сине,сине,CV-SV,2,4
шартыма,шартыма,CVS-CV-SV,3,7
күнмәссең,күнмәссең,CVS-SVC-CVS,3,9
диеп,диjеп,CV-SVC,2,5
мин,мин,SVS,1,3
уйлыймын,уjлыjмын,VS-SVS-SVS,3,8
нәрсә,нәрсә,SVS-CV,2,5
шартың,шартың,CVS-CVS,2,6
сөйлә,сөjлә,CVS-SV,2,5
и,и,V,1,1
бичара,бичара,CV-CV-SV,3,6
адәмчеккенәм,адәмчеккенәм,V-CVS-CVC-CV-SVS,5,12
тик,тик,CVC,1,3
тизүк,тизүк,CV-CVC,2,5
уйныйкчы,уjныjкчы,VS-SVSC-CV,3,8
зинһар,зинһар,CVS-CVS,2,6
нәрсә,нәрсә,SVS-CV,2,5
кушсаң,кушсаң,CVC-CVS,2,6
да,да,CV,1,2
күнәм,күнәм,CV-SVS,2,5
сөйлием,сөjлиjем,CVS-SV-SVS,3,8
шартымны,шартымны,CVS-CVS-SV,3,8
сиңа,сиңа,CV-SV,2,4
яхшы,jахшы,SVC-CV,2,5
тыңлап,тыңлап,CVS-SVC,2,6
тор,тор,CVS,1,3
әнә,әнә,V-SV,2,3
шунда,шунда,CVS-CV,2,5
бар,бар,CVS,1,3
ич,ич,VC,1,2
бик,бик,CVC,1,3
озын,озын,V-CVS,2,4
һәм,һәм,CVS,1,3
бик,бик,CVC,1,3
юан,jуан,SV-VS,2,4
бер,бер,CVS,1,3
бүрәнә,бүрәнә,CV-SV-SV,3,6
мин,мин,SVS,1,3
дә,дә,CV,1,2
көч,көч,CVC,1,3
ярдәм,jәрдәм,SVS-CVS,2,6
бирермен,бирермен,CV-SVS-SVS,3,8
әйдә,әjдә,VS-CV,2,4
иптәш,иптәш,VC-CVC,2,5
кузгалыйк,кузгалыjк,CVC-CV-SVSC,3,9
шул,шул,CVS,1,3
агачны,агачны,V-CVC-SV,3,6
бергә,бергә,CVS-CV,2,5
бергә,бергә,CVS-CV,2,5
ушбу,ушбу,VC-CV,2,4
арбага,арбага,VS-CV-CV,3,6
салыйк,салыjк,CV-SVSC,2,6
бүрәнәнең,бүрәнәнең,CV-SV-SV-SVS,4,9
бер,бер,CVS,1,3
очында,очында,V-CVS-CV,3,6
бар,бар,CVS,1,3
эчелгән,эчелгән,V-CVS-CVS,3,7
ярыгы,jарыгы,SV-SV-CV,3,6
шул,шул,CVS,1,3
җиреннән,җиреннән,CV-SVS-SVS,3,8
нык,нык,SVC,1,3
кына,кына,CV-SV,2,4
син,син,CVS,1,3
тот,тот,CVC,1,3
и,и,V,1,1
урман,урман,VS-SVS,2,5
сарыгы,сарыгы,CV-SV-CV,3,6
бу,бу,CV,1,2
киңәшкә,киңәшкә,CV-SVC-CV,3,7
шүрәле,шүрәле,CV-SV-SV,3,6
дә,дә,CV,1,2
күнде,күнде,CVS-CV,2,5
килмичә,килмичә,CVS-SV-CV,3,7
кире,кире,CV-SV,2,4
китте,китте,CVC-CV,2,5
кушкан,кушкан,CVC-CVS,2,6
җиргә,җиргә,CVS-CV,2,5
атлап,атлап,VC-SVC,2,5
адымын,адымын,V-CV-SVS,3,6
ире,ире,V-SV,2,3
ире,ире,V-SV,2,3
куйды,куjды,CVS-CV,2,5
илтеп,илтеп,VS-CVC,2,5
аузын,аwзын,VS-CVS,2,5
эчкән,эчкән,VC-CVS,2,5
бүрәнәгә,бүрәнәгә,CV-SV-SV-CV,4,8
бармагын,бармагын,CVS-SV-CVS,3,8
кариэм,кариэм,CV-SV-VS,3,6
күрдеңме,күрдеңме,CVS-CVS-SV,3,8
инде,инде,VS-CV,2,4
яшь,jәш,SVC,1,3
җегетнең,җегетнең,CV-CVC-SVS,3,8
кармагын,кармагын,CVS-SV-CVS,3,8
суккалыйдыр,суккалыjдыр,CVC-CV-SVS-CVS,4,11
балта,балта,CVS-CV,2,5
берлән,берлән,CVS-SVS,2,6
кыстырылган,кыстырылган,CVC-CV-SVS-CVS,4,11
чөйгә,чөjгә,CVS-CV,2,5
бу,бу,CV,1,2
хәйләсене,хәjләсене,CVS-SV-CV-SV,4,9
әкрен,әкрен,VC-SVS,2,5
әкрен,әкрен,VC-SVS,2,5
китерәдер,китерәдер,CV-CV-SV-CVS,4,9
көйгә,көjгә,CVS-CV,2,5
бу,бу,CV,1,2
